,x,y
0,36266.6667,62550.0
1,34600.0,58633.3333
2,51650.0,72300.0
3,37800.0,67683.3333
4,35428.0556,60174.1667
5,34583.3333,68550.0
6,27383.3333,54766.6667
7,34533.3333,63166.6667
8,23766.6667,64683.3333
9,32383.3333,59666.6667
10,32383.3333,59666.6667
11,25416.6667,65533.3333
12,31383.3333,64183.3333
13,37916.6667,62933.3333
14,37183.3333,60166.6667
15,35600.0,60900.0
16,33783.3333,60600.0
17,35454.1667,60891.3889
18,31650.0,68400.0
19,28833.3333,58833.3333
20,26283.3333,64483.3333
21,34642.5,58618.0556
22,34150.0,60800.0
23,33800.0,61583.3333
24,32666.6667,68616.6667
25,27033.3333,54650.0
26,32266.6667,68416.6667
27,35550.0,58883.3333
28,25083.3333,65483.3333
29,28550.0,67066.6667
30,23550.0,62600.0
31,36550.0,62583.3333
32,38750.0,60766.6667
33,27716.6667,61366.6667
34,28316.6667,64966.6667
35,31550.0,68733.3333
36,37216.6667,61933.3333
37,37216.6667,61933.3333
38,35550.0,58883.3333
39,31566.6667,61900.0
40,31566.6667,61900.0
41,34374.7222,58895.2778
42,33016.6667,60883.3333
43,34883.3333,61000.0
44,34092.2222,59035.0
45,26216.6667,65400.0
46,24250.0,65133.3333
47,35050.0,59050.0
48,33483.3333,69000.0
49,26066.6667,60550.0
50,27783.3333,65333.3333
51,26550.0,59350.0
52,38900.0,70066.6667
53,40700.0,63466.6667
54,27916.6667,64250.0
55,33800.0,66433.3333
56,52166.6667,68566.6667
57,40183.3333,70233.3333
58,37000.0,63150.0
59,23633.3333,64466.6667
60,28700.0,56816.6667
61,31383.3333,58116.6667
62,28883.3333,58033.3333
63,38150.0,70716.6667
64,27366.6667,65516.6667
65,27800.0,62966.6667
66,23433.3333,64166.6667
67,38133.3333,57983.3333
68,22200.0,66016.6667
69,29100.0,58333.3333
70,31450.0,64366.6667
71,31450.0,64366.6667
72,28416.6667,65633.3333
73,30366.6667,67666.6667
74,30933.3333,59466.6667
75,31466.6667,58266.6667
76,36183.3333,60066.6667
77,27500.0,55166.6667
78,27483.3333,55133.3333
79,26983.3333,54483.3333
80,28983.3333,65483.3333
81,26816.6667,65316.6667
82,31166.6667,63583.3333
83,27800.0,62966.6667
84,32850.0,60800.0
85,22100.0,65466.6667
86,22133.3333,65466.6667
87,29016.6667,58900.0
88,32133.3333,58266.6667
89,28916.6667,58933.3333
90,25600.0,64950.0
91,29016.6667,58900.0
92,26416.6667,58550.0
93,26466.6667,65833.3333
94,27983.3333,63950.0
95,31083.3333,58383.3333
96,22433.3333,63800.0
97,22933.3333,65300.0
98,29466.6667,56816.6667
99,27650.0,65650.0
100,27883.3333,64250.0
101,27466.6667,65050.0
102,24116.6667,65383.3333
103,27383.3333,57700.0
104,22383.3333,63800.0
105,27366.6667,65216.6667
106,27183.3333,65616.6667
107,51533.3333,72300.0
108,51533.3333,72300.0
109,32116.6667,64750.0
110,32116.6667,64750.0
111,32050.0,65050.0
112,36250.0,64233.3333
113,31950.0,61400.0
114,34700.0,58316.6667
115,33783.3333,61216.6667
116,33166.6667,62750.0
117,27300.0,62600.0
118,34933.3333,64316.6667
119,33883.3333,64700.0
120,34916.6667,60516.6667
121,25966.6667,54583.3333
122,34933.3333,64316.6667
123,33583.3333,59816.6667
124,31650.0,60683.3333
125,23416.6667,62466.6667
126,28050.0,56033.3333
127,37450.0,60666.6667
128,34883.3333,62616.6667
129,23900.0,65450.0
130,34616.6667,58566.6667
131,34533.3333,58466.6667
132,22583.3333,65200.0
133,22116.6667,65133.3333
134,37666.6667,57650.0
135,34233.3333,62833.3333
136,27783.3333,64150.0
137,33016.6667,68883.3333
138,33633.3333,69150.0
139,38750.0,68183.3333
140,36050.0,67383.3333
141,45400.0,67133.3333
142,22116.6667,65133.3333
143,24900.0,65683.3333
144,34450.0,58550.0
145,30750.0,61333.3333
146,25066.6667,64966.6667
147,26483.3333,65366.6667
148,28766.6667,68166.6667
