,x,y
0,49525.5556,5940.5556
1,49525.5556,5940.5556
2,49738.8889,6345.0
3,49608.3333,6405.8333
4,49796.6667,6155.5556
5,49828.6111,5764.7222
6,49757.7778,6353.3333
7,49716.3889,6490.0
8,49533.3333,6316.6667
9,49716.3889,6490.0
10,49616.6667,6233.3333
11,49533.3333,6316.6667
12,49501.3889,6352.7778
13,50053.3333,5919.1667
14,49967.7778,5890.2778
15,50053.3333,5919.1667
16,49623.6111,6136.3889
17,49650.0,6050.0
18,49968.8889,5931.9444
19,49988.8889,5999.1667
20,49988.8889,5999.1667
21,50140.5556,6023.8889
22,49650.0,6050.0
23,49968.8889,5931.9444
24,49938.6111,6156.1111
25,49850.0,6116.6667
26,49541.3889,6021.6667
27,49750.0,6200.0
28,49719.7222,6200.0
29,49511.1111,5873.8889
30,50053.3333,5919.1667
31,50155.5556,6053.3333
32,50155.5556,6053.3333
33,49816.9444,6088.0556
34,49888.0556,6067.7778
35,49523.8889,6342.2222
36,49538.0556,6284.1667
37,50137.2222,6075.0
38,49566.6667,6116.6667
39,49623.6111,6136.3889
40,49600.0,6150.0
41,49866.6667,6216.6667
42,49866.6667,6216.6667
43,49963.6111,6124.1667
44,49540.8333,6200.8333
45,49833.3333,6382.7778
46,50104.4444,5946.1111
47,49963.6111,6124.1667
48,49972.7778,5941.9444
49,50038.3333,5989.4444
50,49691.3889,6388.3333
51,49816.6667,6250.0
52,49816.6667,6250.0
53,49623.6111,6136.3889
54,49944.1667,5785.8333
55,49710.0,6500.2778
56,49854.4444,6095.0
57,49800.0,5866.6667
58,49944.1667,5785.8333
59,49658.3333,6137.2222
60,49926.6667,6173.6111
61,49555.0,6287.5
62,49788.8889,6286.6667
63,49816.6667,6300.0
64,49985.2778,6126.6667
65,49985.2778,6126.6667
66,49836.6667,5906.3889
67,49803.0556,6000.0
68,49935.0,6208.8889
69,49511.1111,5873.8889
70,49769.7222,5982.2222
71,50075.5556,6046.6667
72,50001.6667,6145.5556
73,50121.1111,6000.2778
74,49628.6111,6278.0556
75,49717.7778,6010.2778
76,49717.7778,6010.2778
77,50064.4444,5883.0556
78,50121.1111,6000.2778
79,50046.1111,5878.0556
80,50064.4444,5883.0556
81,49570.8333,6280.5556
82,49960.2778,5860.8333
83,49916.6667,5783.3333
84,49916.6667,5783.3333
85,49894.4444,6163.6111
86,49700.0,6433.3333
87,49475.8333,6042.2222
88,49950.5556,5796.1111
89,49897.5,6183.3333
90,49911.3889,5995.5556
91,49561.9444,6221.6667
92,49903.0556,5780.0
93,49903.0556,5780.0
94,49620.5556,6073.3333
95,49967.2222,6167.7778
96,49967.2222,6167.7778
97,50078.8889,5958.0556
98,49676.9444,6123.8889
99,49696.1111,5920.2778
100,49811.3889,6478.3333
101,49661.3889,5919.1667
102,49866.6667,6216.6667
103,49536.3889,6029.4444
104,49830.0,6171.9444
105,49816.6667,5866.6667
106,49562.7778,6364.4444
107,49581.3889,5966.9444
108,49965.0,5826.6667
109,49965.0,5826.6667
110,49525.5556,5940.5556
111,49701.1111,5967.2222
112,49628.0556,6104.4444
113,49701.1111,5967.2222
114,50010.5556,6026.6667
115,49701.1111,5967.2222
116,49628.0556,6104.4444
117,49641.9444,6239.4444
118,50018.0556,5948.8889
119,49853.0556,6187.2222
120,49716.6667,6133.3333
121,49830.5556,5854.4444
122,49830.5556,5854.4444
123,49722.7778,5927.5
124,49511.6667,6356.9444
125,49511.6667,6356.9444
126,49746.1111,5971.9444
127,49716.6667,6216.6667
128,49620.5556,6268.6111
129,49797.7778,6159.1667
130,49605.8333,6258.8889
131,49582.5,5956.3889
132,49744.1667,6170.8333
133,49718.8889,6092.2222
134,49683.3333,5950.0
135,50181.6667,6025.2778
136,49933.0556,6063.6111
137,49990.5556,5857.5
138,49578.3333,6058.8889
139,49578.3333,6058.8889
140,49990.5556,5857.5
141,49716.6667,6133.3333
142,50010.2778,5852.2222
143,49506.3889,6012.7778
144,49830.5556,6098.6111
145,49590.0,6316.1111
146,49590.0,6316.1111
147,49471.6667,6365.8333
148,49775.0,6360.5556
149,49893.6111,6044.7222
150,49792.2222,5975.8333
151,49804.1667,6253.8889
152,49548.0556,5928.8889
153,50099.4444,5997.5
154,49548.0556,5928.8889
155,49613.3333,6218.8889
156,49695.2778,5870.5556
157,49727.2222,5986.3889
158,49695.2778,5870.5556
159,50080.0,5975.5556
160,49460.8333,6033.0556
161,49460.8333,6033.0556
162,49955.8333,5924.7222
163,49786.6667,6096.1111
164,49797.7778,6504.1667
165,49786.6667,6096.1111
166,49662.5,6302.7778
167,49691.9444,6002.2222
168,49794.4444,5821.6667
169,49794.4444,5821.6667
170,49662.5,6302.7778
171,49866.9444,5773.3333
172,49866.9444,5773.3333
173,49834.7222,5742.7778
174,49622.7778,6107.7778
175,49741.6667,6114.4444
176,49548.8889,6317.2222
177,49546.3889,5856.3889
178,49548.8889,6317.2222
179,49542.2222,6150.0
180,49567.7778,6285.0
181,49567.7778,6285.0
182,49574.7222,6034.7222
183,49567.7778,6285.0
184,50036.6667,6131.1111
185,50055.8333,6083.6111
186,49531.1111,5847.2222
187,49682.5,6289.1667
188,49691.9444,6002.2222
189,49779.7222,5935.2778
190,49546.3889,5840.8333
191,49751.6667,5957.5
192,49734.1667,6319.4444
193,49916.9444,6011.9444
194,49850.2778,5901.3889
195,50080.0,5975.5556
196,50057.7778,6037.5
197,49746.6667,6260.2778
198,49545.0,6366.9444
199,49488.6111,6351.6667
200,49868.6111,6267.7778
201,49797.2222,5953.8889
202,49773.6111,5928.0556
203,49765.5556,5890.8333
204,49765.5556,5890.8333
205,49765.5556,5890.8333
206,49960.2778,5860.8333
207,49533.3333,6316.6667
208,49562.5,6008.8889
209,49749.7222,6083.0556
210,49749.7222,6083.0556
211,49562.5,6008.8889
212,49656.9444,6233.6111
213,49656.9444,6233.6111
214,49830.8333,5845.0
215,49960.8333,6143.0556
216,49616.6667,6166.6667
217,49717.5,6120.2778
218,49717.5,6120.2778
219,49801.6667,5939.1667
220,49673.3333,6400.8333
221,49673.3333,6400.8333
222,49536.3889,6029.4444
223,49960.2778,5860.8333
224,49791.1111,5934.7222
225,49770.2778,6109.1667
226,49770.2778,6109.1667
227,49549.4444,6000.2778
228,49994.4444,6013.0556
229,50012.7778,6091.3889
230,49916.6667,6000.0
231,49916.6667,6000.0
232,49616.6667,6133.3333
233,49916.6667,6000.0
234,49770.2778,6109.1667
235,49779.7222,5809.4444
236,49558.3333,5880.5556
237,49558.3333,5880.5556
238,49811.6667,5765.8333
239,49524.4444,6129.7222
240,50107.2222,6007.7778
241,49778.8889,6441.3889
242,49783.8889,5904.4444
243,49657.2222,6000.2778
