,x,y
0,16700.0,53233.3333
1,16700.0,53250.0
2,16716.6667,53300.0
3,16733.3333,53333.3333
4,16750.0,53416.6667
5,16816.6667,53316.6667
6,16883.3333,53783.3333
7,16934.1667,53992.5
8,16983.3333,54016.6667
9,16983.3333,54116.6667
10,16988.6111,54692.2222
11,16999.1667,54053.3333
12,17000.0,53983.3333
13,17003.3333,54037.7778
14,17009.7222,54163.0556
15,17016.6667,53000.0
16,17016.6667,53683.3333
17,17016.6667,53983.3333
18,17017.5,54082.7778
19,17033.3333,54450.0
20,17035.0,54209.4444
21,17036.9444,53982.7778
22,17037.2222,54403.6111
23,17039.7222,53966.6667
24,17040.8333,54431.3889
25,17044.7222,53972.7778
26,17050.0,54133.3333
27,17050.0,55066.6667
28,17055.8333,54227.2222
29,17059.1667,54596.6667
30,17060.5556,53974.7222
31,17061.6667,54231.9444
32,17066.6667,53950.0
33,17068.0556,54540.8333
34,17071.1111,54629.4444
35,17071.6667,54465.2778
36,17075.0,54042.2222
37,17077.2222,54619.4444
38,17082.7778,54436.6667
39,17083.0556,54031.6667
40,17083.3333,54376.9444
41,17083.3333,54466.6667
42,17086.1111,54508.6111
43,17087.2222,54581.1111
44,17088.8889,54385.2778
45,17089.7222,54064.7222
46,17090.0,54604.1667
47,17091.3889,54123.6111
48,17091.3889,54383.3333
49,17094.7222,54510.2778
50,17095.0,54385.0
51,17095.8333,54396.6667
52,17098.8889,54327.2222
53,17100.0,55116.6667
54,17102.5,54593.3333
55,17103.8889,54029.7222
56,17107.2222,54321.6667
57,17107.7778,54263.6111
58,17107.7778,54490.8333
59,17109.1667,54426.1111
60,17111.1111,54455.2778
61,17111.3889,54407.2222
62,17113.6111,54027.2222
63,17116.6667,54000.0
64,17118.0556,53981.1111
65,17118.0556,54009.7222
66,17118.0556,54555.2778
67,17118.8889,54015.5556
68,17119.1667,54333.8889
69,17120.5556,54435.0
70,17122.2222,54481.3889
71,17123.6111,54256.3889
72,17123.6111,54540.2778
73,17123.8889,54400.5556
74,17124.1667,54435.2778
75,17125.0,54430.5556
76,17126.6667,54002.7778
77,17128.0556,54509.1667
78,17128.8889,54456.9444
79,17129.7222,54385.5556
80,17130.8333,54101.6667
81,17131.3889,54541.6667
82,17131.9444,54021.6667
83,17131.9444,54277.7778
84,17132.2222,53994.7222
85,17132.2222,54005.0
86,17132.5,53972.7778
87,17133.0556,54158.8889
88,17133.3333,54016.6667
89,17133.3333,54100.0
90,17133.3333,54116.6667
91,17133.3333,54450.0
92,17133.3333,54516.6667
93,17133.6111,54353.3333
94,17134.7222,54276.6667
95,17136.1111,54091.9444
96,17136.6667,54383.3333
97,17138.3333,54077.2222
98,17138.3333,54085.5556
99,17139.4444,54399.7222
100,17140.5556,54066.9444
101,17140.5556,54082.7778
102,17141.6667,54044.1667
103,17141.6667,54162.5
104,17142.2222,54446.6667
105,17142.7778,54133.0556
106,17144.4444,54347.7778
107,17144.7222,54580.5556
108,17145.8333,54539.1667
109,17146.3889,54057.5
110,17147.5,54195.2778
111,17148.0556,54179.7222
112,17148.0556,54431.6667
113,17150.0,54316.6667
114,17150.0,54416.6667
115,17151.6667,54199.4444
116,17152.2222,54021.3889
117,17153.0556,54380.8333
118,17153.3333,54021.9444
119,17153.3333,54303.3333
120,17153.8889,54312.7778
121,17155.2778,54381.6667
122,17158.0556,54043.0556
123,17158.3333,54049.1667
124,17159.4444,54082.2222
125,17165.5556,54262.7778
126,17165.5556,54436.9444
127,17165.5556,54543.0556
128,17167.7778,54084.1667
129,17169.1667,54216.6667
130,17170.2778,53993.6111
131,17170.8333,54246.1111
132,17170.8333,54261.1111
133,17173.6111,54083.6111
134,17177.2222,54133.0556
135,17177.5,54370.2778
136,17178.6111,54446.9444
137,17179.1667,54383.8889
138,17179.1667,54415.8333
139,17180.0,54365.8333
140,17180.5556,54087.7778
141,17183.3333,54109.7222
142,17183.3333,54250.0
143,17183.6111,54390.8333
144,17183.8889,54414.1667
145,17185.2778,54272.2222
146,17189.1667,54133.8889
147,17189.7222,54159.1667
148,17189.7222,54185.2778
149,17190.5556,54365.2778
150,17190.5556,54533.0556
151,17192.5,54318.8889
152,17192.7778,54406.9444
153,17194.4444,53993.3333
154,17195.5556,54135.2778
155,17197.5,54376.6667
156,17198.0556,54211.9444
157,17198.3333,54141.3889
158,17199.4444,54088.6111
159,17200.0,53983.3333
160,17200.0,54466.6667
161,17216.6667,54033.3333
162,17216.6667,54050.0
163,17228.0556,54603.6111
164,17233.3333,53966.6667
165,17233.3333,54000.0
166,17233.3333,54033.3333
167,17235.2778,54048.3333
168,17250.0,54250.0
169,17254.4444,54496.3889
170,17283.3333,53966.6667
171,17333.3333,52750.0
172,17333.3333,52783.3333
173,17350.0,52816.6667
174,17366.6667,55283.3333
