,x,y
0,30133.3333,57633.3333
1,30166.6667,57100.0
2,30233.3333,57583.3333
3,30250.0,56850.0
4,30250.0,56950.0
5,30250.0,57583.3333
6,30300.0,56966.6667
7,30316.6667,56816.6667
8,30400.0,56466.6667
9,30400.0,56783.3333
10,30433.3333,57433.3333
11,30466.6667,56550.0
12,30483.3333,56516.6667
13,30500.0,56450.0
14,30500.0,56666.6667
15,30550.0,57866.6667
16,30566.6667,56883.3333
17,30600.0,57683.3333
18,30616.6667,56900.0
19,30633.3333,56166.6667
20,30683.3333,57033.3333
21,30683.3333,57516.6667
22,30716.6667,56600.0
23,30733.3333,56733.3333
24,30733.3333,57316.6667
25,30750.0,56750.0
26,30783.3333,57783.3333
27,30833.3333,56750.0
28,30866.6667,56366.6667
29,30900.0,55516.6667
30,30916.6667,56300.0
31,30933.3333,55483.3333
32,30933.3333,55550.0
33,30950.0,56650.0
34,30966.6667,55550.0
35,30966.6667,57533.3333
36,31000.0,55683.3333
37,31000.0,56250.0
38,31016.6667,56566.6667
39,31033.3333,56600.0
40,31033.3333,56883.3333
41,31083.3333,56016.6667
42,31083.3333,56516.6667
43,31083.3333,57016.6667
44,31083.3333,57516.6667
45,31083.3333,57600.0
46,31083.3333,57833.3333
47,31100.0,55666.6667
48,31100.0,55983.3333
49,31100.0,57016.6667
50,31116.6667,56466.6667
51,31166.6667,55750.0
52,31166.6667,57000.0
53,31166.6667,57083.3333
54,31183.3333,56283.3333
55,31183.3333,56933.3333
56,31200.0,55750.0
57,31200.0,57233.3333
58,31216.6667,55666.6667
59,31216.6667,56316.6667
60,31233.3333,55633.3333
61,31233.3333,55883.3333
62,31233.3333,57116.6667
63,31250.0,55333.3333
64,31250.0,55950.0
65,31250.0,56833.3333
66,31250.0,57166.6667
67,31250.0,57200.0
68,31283.3333,56433.3333
69,31300.0,55866.6667
70,31300.0,56016.6667
71,31300.0,57066.6667
72,31300.0,57100.0
73,31300.0,57133.3333
74,31300.0,57150.0
75,31300.0,57200.0
76,31300.0,57700.0
77,31316.6667,55200.0
78,31333.3333,57800.0
79,31333.3333,57833.3333
80,31333.3333,57883.3333
81,31350.0,55383.3333
82,31350.0,56633.3333
83,31350.0,57783.3333
84,31350.0,57800.0
85,31350.0,57983.3333
86,31366.6667,55083.3333
87,31366.6667,55666.6667
88,31366.6667,55850.0
89,31383.3333,55866.6667
90,31383.3333,57966.6667
91,31400.0,56366.6667
92,31400.0,57783.3333
93,31416.6667,54916.6667
94,31416.6667,56683.3333
95,31433.3333,55233.3333
96,31450.0,55416.6667
97,31450.0,56383.3333
98,31466.6667,55166.6667
99,31466.6667,56833.3333
100,31483.3333,54833.3333
101,31500.0,54716.6667
102,31500.0,55166.6667
103,31500.0,56033.3333
104,31500.0,57116.6667
105,31516.6667,54966.6667
106,31516.6667,55766.6667
107,31516.6667,55966.6667
108,31516.6667,57533.3333
109,31516.6667,57583.3333
110,31533.3333,55583.3333
111,31533.3333,55833.3333
112,31533.3333,56050.0
113,31550.0,55550.0
114,31550.0,57950.0
115,31566.6667,54550.0
116,31583.3333,55466.6667
117,31583.3333,57616.6667
118,31600.0,55850.0
119,31600.0,56750.0
120,31616.6667,56816.6667
121,31633.3333,55000.0
122,31633.3333,56916.6667
123,31650.0,56833.3333
124,31666.6667,56166.6667
125,31666.6667,56633.3333
126,31666.6667,57916.6667
127,31683.3333,54650.0
128,31683.3333,54766.6667
129,31683.3333,55433.3333
130,31683.3333,55950.0
131,31683.3333,56133.3333
132,31683.3333,57683.3333
133,31700.0,56100.0
134,31716.6667,55333.3333
135,31733.3333,54416.6667
136,31733.3333,55983.3333
137,31750.0,55016.6667
138,31750.0,55466.6667
139,31750.0,56066.6667
140,31766.6667,54800.0
141,31766.6667,56016.6667
142,31766.6667,56250.0
143,31783.3333,54333.3333
144,31783.3333,54750.0
145,31783.3333,55150.0
146,31783.3333,56250.0
147,31800.0,54716.6667
148,31800.0,55333.3333
149,31800.0,55700.0
150,31800.0,56133.3333
151,31816.6667,54666.6667
152,31816.6667,55183.3333
153,31816.6667,55216.6667
154,31816.6667,55500.0
155,31816.6667,55916.6667
156,31816.6667,55966.6667
157,31833.3333,54166.6667
158,31833.3333,55766.6667
159,31833.3333,55933.3333
160,31833.3333,55983.3333
161,31833.3333,57250.0
162,31850.0,56000.0
163,31866.6667,54200.0
164,31866.6667,57283.3333
165,31883.3333,55433.3333
166,31883.3333,55966.6667
167,31883.3333,56000.0
168,31883.3333,57333.3333
169,31883.3333,57483.3333
170,31883.3333,57516.6667
171,31900.0,54150.0
172,31900.0,54783.3333
173,31900.0,55133.3333
174,31900.0,55466.6667
175,31900.0,55883.3333
176,31916.6667,54733.3333
177,31916.6667,55933.3333
178,31916.6667,56016.6667
179,31916.6667,57250.0
180,31916.6667,57716.6667
181,31950.0,57883.3333
182,31966.6667,55050.0
183,31966.6667,57516.6667
184,31983.3333,54166.6667
185,31983.3333,55683.3333
186,31983.3333,57416.6667
187,32000.0,54133.3333
188,32000.0,55483.3333
189,32000.0,57166.6667
190,32000.0,57300.0
191,32000.0,57583.3333
192,32016.6667,54200.0
193,32016.6667,55066.6667
194,32016.6667,57333.3333
195,32016.6667,57466.6667
196,32033.3333,54183.3333
197,32033.3333,54566.6667
198,32033.3333,55666.6667
199,32033.3333,55783.3333
200,32050.0,54633.3333
201,32050.0,54866.6667
202,32050.0,55383.3333
203,32066.6667,53766.6667
204,32066.6667,56350.0
205,32083.3333,54250.0
206,32083.3333,55650.0
207,32083.3333,56866.6667
208,32083.3333,57916.6667
209,32100.0,53750.0
210,32100.0,54866.6667
211,32100.0,57416.6667
212,32100.0,57816.6667
213,32116.6667,54066.6667
214,32116.6667,57566.6667
215,32150.0,54200.0
216,32150.0,54883.3333
217,32150.0,54950.0
218,32150.0,55050.0
219,32150.0,56116.6667
220,32166.6667,53750.0
221,32166.6667,54116.6667
222,32166.6667,55016.6667
223,32166.6667,55950.0
224,32183.3333,55033.3333
225,32183.3333,55283.3333
226,32183.3333,56066.6667
227,32200.0,54066.6667
228,32200.0,58000.0
229,32216.6667,55600.0
230,32216.6667,56016.6667
231,32233.3333,54983.3333
232,32233.3333,55733.3333
233,32233.3333,56500.0
234,32250.0,55750.0
235,32250.0,56516.6667
236,32250.0,57300.0
237,32266.6667,54916.6667
238,32266.6667,55900.0
239,32283.3333,58050.0
240,32300.0,55333.3333
241,32321.3889,58075.5556
242,32333.3333,55883.3333
243,32333.3333,55966.6667
244,32333.3333,57050.0
245,32333.3333,57800.0
246,32333.3333,57933.3333
247,32333.3333,58133.3333
248,32350.0,53833.3333
249,32350.0,54133.3333
250,32350.0,55833.3333
251,32350.0,56550.0
252,32350.0,57200.0
253,32366.6667,54183.3333
254,32366.6667,54766.6667
255,32366.6667,57850.0
256,32366.6667,57983.3333
257,32383.3333,54350.0
258,32383.3333,54666.6667
259,32383.3333,55066.6667
260,32383.3333,56683.3333
261,32383.3333,57500.0
262,32383.3333,57600.0
263,32400.0,55350.0
264,32400.0,56716.6667
265,32400.0,56900.0
